formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
2009213-137-202	 { - \int \mbox { S } dw } 
200923-1251-75	 { - k } 
200923-1556-80	 e ^ { \int x ^ 2 d x } 
28_em_141	\frac{2AB}{A + B}
200923-131-263	 7 
18_em_22	p_1^{\gamma_1}p_2^{\gamma_2}\cdots p_n^{\gamma_n}
79_jorge	p = \sqrt{a^2 + b^2 - 2ab \cos A}
116_david	x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
200923-131-37	 13 + \pi r ^ 2 
formulaire016-equation066	a = \frac {c\sin\alpha}{\sin(\alpha+\beta)}
MfrDB1583	\int\limits_{a}^{a} f ( x ) dx = 0
MfrDB0333	\int x dx
RIT_2014_19	 2 ^ {2 ^ {2 ^ {65536}}} - 3 
115_em_139	H_3(R)
TrainData2_0_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
200925-1126-209	 { \mbox { z } } _ { \mbox { j } } 
formulaire037-equation001	\beta(3) = \frac{\pi^3}{32}
2009213-137-241	 \sin p 
MfrDB1911	a_{n} = a_{1} \cdot {q^{n - 1}}
TrainData2_25_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
formulaire018-equation044	\int_{0}^{\infty}dx x^{n}
formulaire016-equation037	d_{1,-1}^{1} = \frac{1-\cos \theta}{2}
MfrDB2806	a x + b \lt c
formulaire033-equation033	r^2=x^2+y^2
200923-131-182	 \sqrt { { N \sum { I } } } 
MfrDB0119	{1^{2}} + 3
32_em_205	(a + bi) - (c + di) = (a - c) + (b - d)i
MfrDB1456	3 x - 5 \lt - 2
MfrDB2715	\int\limits_{0}^{\infty} \sqrt{x} {e^{- x}} dx = \frac{1}{2} \sqrt{\pi}
MfrDB3059	\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}
formulaire031-equation000	143 \pm (124 \times (31 - 35)) \div 135
200922-1017-12	 \int _0 ^ \pi \cos \left ( \frac { \theta } { 2 } \right ) d \theta 
MfrDB3466	| a + i b | = \sqrt{{x^{2}} + {y^{2}}}
200923-1251-53	 { x } _ { \mbox { G } } 
200923-1556-72	 \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } 
crohme_f056-eq060	25 - 151 - 29 - 33 = -1
2009213-139-2	 \int e ^ { x ^ 2 } x ^ 3 d x 
MfrDB1964	t = \frac{t_{0}}{\sqrt{1 - \frac{{v^{2}}}{{c^{2}}}}}
117_hirata	y^2 \pm \sqrt{u-p}\Bigg(y - \frac{q}{2(u-p)} \Bigg) + \frac{u}{2} = 0
formulaire056-equation021	d \times f
200923-131-132	 { { - G } + \sum { \mbox { m } } } 
26_em_97	\sqrt{-4} = \sqrt{-1}\sqrt{4}
MfrDB0013	\frac{{x^{2}} - 1}{x + 1} = x - 1
2009213-137-85	 \sqrt { \frac { 2 z ^ 3 } { \sqrt { \frac { 3 z ^ 2 } { \sqrt { 4 z } } } } } 
TrainData2_21_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
formulaire036-equation061	{\sqrt{-1}}
73_Frank	\left| \frac{a x_0 + b y_0 + c}{\sqrt{a^2 + b^2}} \right|
116_jorge	x = \frac{-b \pm \sqrt{b^2 -4ac}}{2a}
formulaire009-equation001	\frac{e^z}{z}
formulaire003-equation013	2^{17}
MfrDB1941	f^{'} ( x ) = \frac{1}{2 \sqrt{x}}
200922-1017-72	 \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } 
KME2G3_29_sub_95	\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt 4}}}
126_em_475	V = C \sqrt{{RS}}
200923-131-32	 a x ^ 4 + b x + c = 0 
2009210-947-17	 \left [ 6 \right ] 
23_em_54	\beta_0 = 1000
200923-1254-330	 \sum _ { { g = z } } ^ { \sqrt { \mbox { j } } } { \mbox { L } } 
formulaire017-equation063	(z-2xz+z^2)
200923-1253-72	 \sqrt { 1 + \sqrt { 1 + \sqrt { 1 + \sqrt { x } } } } 
MfrDB2820	\frac{\sin x}{\cos x} = tg x
TrainData1_0_sub_21	A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
formulaire019-equation054	a_1 v_1 b_1 + \ldots + a_n v_n b_n
formulaire040-equation041	\frac{dx}{\pi \sqrt{x(1-x)}}
formulaire009-equation039	X^2 - 1 = -1 - (X + 1) + (X^2 + X + 1) = - p_1 - p_2 + p_3
200923-1254-130	 \mbox { A } 
200923-1553-122	 6 
TrainData2_1_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
RIT_2014_35	 \theta + c 
TrainData2_18_sub_15	\left( x^{3} - x^{2} - x \right) \left( 2 x - 7 \right)
formulaire024-equation011	(ab)
MfrDB1206	4 + 3
519_em_445	\!\mathrm{Ns}
32_em_220b	8z^7+29cz^5+29c^2z^3
formulaire035-equation006	((-1)^nn)
96_david	y = a S(t) = a \int_0^{t} \sin(\frac{1}{2}\pi s^2) ds
KME2G3_5_sub_35	\log_2 \frac 1 2 + \log_4 \frac 2 4
200923-1251-44	 \sin \left ( \frac { \pi } { 4 } \right ) = \frac { 1 } { \sqrt { 2 } } 
96_mijail	y = a S(t) = a \int_0^{t} \sin(\frac{1}{2}\pi s^2) ds
200923-1556-236	 1.9 
formulaire007-equation014	f(h)
KME2G3_23_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
formulaire021-equation035	((151 + 23) - (183 \times 126)) + 153 = -22731
formulaire028-equation060	(95  97) - 120 \neq -89
MfrDB2870	\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}
formulaire012-equation023	6+2b=12+6
506_em_64	{\sqrt{7}+2\sqrt{7}}
formulaire024-equation043	y+16
2009213-139-29	 { \sqrt { \mbox { u } } + { H } ^ { \mbox { E } } } 
200922-947-159	 { { \mbox { B } + z } = { 2 \mbox { z } } } 
92_carlos	y = \frac{x\prime\sin\theta+y\prime\sin(w\prime+\theta)}{\sin w}
98_alfonso	\cos \alpha = \frac{a}{\sqrt{a^2 + b^2 + c^2}}
formulaire020-equation057	(x_i,y_i)
formulaire023-equation037	f(n,m)
formulaire024-equation054	(n,e)
MfrDB1822	{x^{y}} - {y^{x}}
formulaire032-equation030	45 - 152 + 149 \neq -98
formulaire004-equation074	a=b^{\frac{q^d-1}{2}}
512_em_281	\frac{p}{t}
formulaire057-equation045	157 + 72 \geq 228
20_em_27	R_o=\frac{\left( \frac{\beta + 1}{\beta} \right)r_e+ \left(\beta + 2 +\frac{2}{\beta}\right)r_{o}}{2 + \frac{2}{\beta}}
formulaire038-equation056	\beta^y = \beta^z =0
2009213-139-117	 { \beta - 0.4 } 
200922-949-191	 p 
200923-1253-127	 { \mbox { P } + \sum { y } } 
200924-1312-236	 { S } ^ { { \sigma \mbox { o } } } 
200926-1617-123	 5.4 
KME1G3_3_sub_16	\cos ( \frac \pi 2 + \alpha ) = - \sin \alpha
KME1G3_7_sub_20	\sum_{k = 1}^n k = \frac 1 2 ( n^2 + n )
formulaire033-equation022	f_{pm}
formulaire016-equation072	l(1-\cos(\theta_0) )= (l-a)(1-\cos(\theta))
MfrDB2080	V = a \cdot b \cdot c
formulaire004-equation005	7 \times 154 \neq -1362
formulaire027-equation044	(x_{i} - f_{i})= \frac {f_{i} \times f_{o}}{(x_{o}-f_{o})}
formulaire012-equation015	123 \pm (185 \div (36 \div 64)) \div 122
formulaire004-equation047	f(x)=\sum_{n=-\infty}^{\infty} a_{n} = x^{\alpha_{n}}
formulaire047-equation036	bz+d=0
formulaire007-equation022	1,1 \times 10^{18}
200923-1254-198	 { \cdots - { z - \Delta } } 
KME2G3_13_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
RIT_2014_281	 100, 000 
200926-131-42	 \frac { 1 } { 3 } \pi r ^ 2 h 
85_alfonso	\Bigg(a\frac{1-t^2}{1+t^2},\frac{2bt}{1+t^2}\Bigg)
124_Nina	\sum_{i=1}^k \frac{x^{a_i}}{1-x^{b_i}} = \frac{1}{1-x}
MfrDB1875	F_{g} = k \cdot \frac{m \cdot M_{z}}{{r^{2}}}
ritm_427_0	 \cos c = \cos a \cos b + \sin a \sin 1 b \cos \gamma 
formulaire020-equation000	99 \pm (90 - 13) \times 82
formulaire027-equation043	a\sqrt{x} + bx + c
200923-1253-134	 { - \sigma } 
2009210-947-55	 \frac { 1 } { \sin \left ( x \right ) + 1 } 
MfrDB2833	a x + b \lt c
115_em_147	n = \frac{\sin(\theta_i)}{\sin(\theta_r)}
200923-1254-43	 \frac { \pi r ^ 2 h } { 3 } 
101_Frank	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
2009213-137-141	 \sqrt { \tan B } 
501_em_2	m_i, v_i, f_i
125_em_432	E ^2-p^2 c^2 = m^2 c^4=0
125_em_422	q(x)=p(x+a)
2009213-139-221	 9 
TrainData2_12_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
MfrDB1683	\frac{10 0 !}{9 7 ! \cdot 6 !}
MfrDB2207	\frac{( x + 3 ) ( x - 5 )}{3 ( x - 1 )} \gt 0
MfrDB3447	\lim_{n \to \infty} \frac{{n^{2}} + 3 n}{2 {n^{2}} + 1} = \frac{1}{2}
36_em_47	70^o
2009210-947-211	 { \sum { j } - \mbox { f } } 
2009220-1327-121	 4 
formulaire019-equation051	x_{i2}
200924-1331-106	 h 
MfrDB0262	A + b = 2
200922-1017-172	 \frac { \theta } { { m - 3 } } 
98_Frank	\cos \alpha = \frac{a}{\sqrt{a^2 + b^2 + c^2}}
TrainData2_12_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
200923-1254-276	 \sqrt { { \cdots + u } } 
117_em_201	o \in Nil(A)
513_em_303	\frac{2}{\sqrt{3} - 1} \times \frac{\sqrt{3}+1}{\sqrt{3}+1} = \frac{2\left(\sqrt{3}+ 1\right)}{3-1} = \sqrt{3}+1 
formulaire048-equation025	107 \pm ((115 \times 46) + 69) \times (29 \times 132)
200923-1556-42	 \frac { 1 } { 3 } \pi r ^ 2 h 
200922-949-201	 { { \mbox { E } } _ { \mbox { B } } } ^ { { - N } } 
TrainData2_5_sub_9	\sqrt{b^{2} - 4 a c}
TrainData2_25_sub_71	\frac{\sin B + \sin C}{\cos B + \cos C}
131_rosario	f(x) = a_nx^n + a_{n-1}x^{n-1}+\cdots+a_1x + a_0
122_em_344	w = w( r,t)
MfrDB1094	f ( x ) = {x^{2}}
MfrDB3247	\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} )
formulaire022-equation044	\alpha = \lim_{n \rightarrow \infty}\frac {d_{n}}{d_{n+1}}
200923-1253-135	 { \mu } _ { o } 
200923-131-164	{0.1\neq\left[\mbox{A}\right]}
200923-1251-14	 a + \sqrt { \frac { b + c } { d + f } } 
MfrDB1921	\sqrt{\frac{1}{n} \sum_{k = 1}^{n} {( a_{k} )^{2}}} \geq \frac{1}{n} \sum_{k = 1}^{n} a_{k}
RIT_2014_80	 4 ! + 4 ! - \frac {4 !} {4} 
KME2G3_26_sub_95	\sqrt {1 + \sqrt {2 + \sqrt {3 + \sqrt 4}}}
35_em_9	\sin(\theta) = \sin\theta
200924-1331-269	 \mbox { Vp } 
formulaire023-equation070	77 + 113 \geq 189
200922-947-208	 { \sin } ^ { r } \pi 
128_em_519	M(R)
200923-1253-150	 \mbox { S } 
formulaire002-equation054	1+{d-1}^{\frac {m}{2}-1}+m\sum_{i=0}^{\frac{m-4}{2}}(d-1)^i
MfrDB2206	{x^{2}} - x - 6 \lt 0
200925-1126-122	 \sqrt { { I - \mbox { B } } } 
200922-1017-80	 e ^ { \int x ^ 2 d x } 
200923-1553-3	 \mbox { E } 
formulaire022-equation013	x_k= y_k
formulaire022-equation043	10^{-n}
formulaire024-equation063	252 = 28 \times 9
rit_42150_4	 x ^ {3} - 3 x ^ {2} \sqrt {3} - 3 x + \sqrt {3} 
200926-1617-9	 \frac { { r \left ( g \right ) + p } } { \frac { \mbox { l } } { 1 } } 
519_em_441	\frac{1}{\tan\left(\theta\right)} = \frac{\cos\left(\theta\right)}{\sin\left(\theta\right)}
formulaire035-equation074	\sum q_i c_i^0 = 0
KME2G3_18_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
200922-949-183	 { n \lt \int \sqrt { z } dd } 
200926-1550-156	 { \mbox { a } } ^ { v } 
124_em_421	(SM)
28_em_131	zy + 2zy + 2z + 2y
200922-947-144	 \frac { { h + 8 } } { { P - \phi } } 
200926-1550-112	 { \sigma + \sum { \mbox { n } } } 
104_em_55	G_{2k}
rit_4265_1	 x + y 
126_leo	| x - \frac{p_n}{q_n} | \leq \frac{1}{q_nq_{n+1}} \lt  \frac{1}{q_n^2}
32_em_220c	4c^3+6c^2+2c+1
formulaire026-equation012	a_n, b_n, c_n
formulaire015-equation011	\gamma_{13}
formulaire021-equation051	r_{1}+r_{2}=- \frac{b}{a}
34_em_246	{v} = (v_x v_y v_z)
MfrDB1712	\int \cos t d t = \sin t
95_Fabricio	b= c \sin B = c \cos A
formulaire037-equation037	\sum_{i=1}^p n_i = n
200923-1251-145	 x 
200922-947-149	 \tan \mbox { i } 
MfrDB0043	\frac{1}{a} + \frac{1}{b} + \frac{1}{c} = \frac{b c + a c + a b}{a b c}
130_caue	\frac{1}{4}+\Bigg( \frac{1}{4} \Bigg)^2 + \Bigg( \frac{1}{4} \Bigg)^3+\cdots = \frac{1}{3}
511_em_257	Hz
502_em_8	\int_{-\infty}^\infty e^{-w^2}dw = \sqrt{\pi}
2009210-947-160	 { - { 1 7 } } 
RIT_2014_13	 \lbrack P \rbrack 
formulaire003-equation031	2^{18}
200923-1254-39	 \left ( 606 \right ) 
200926-1550-35	 { - \int \Delta dc } 
formulaire013-equation015	((192 - 28)  154)  188 \neq 0
formulaire037-equation020	116 \div 145 = 0.80
MfrDB1244	5 0 ! \cdot n = 4 8 !
200923-1553-47	 { { y } ^ { { \sigma - I } } \int 0.4 dn } 
TrainData2_26_sub_9	\sqrt{b^{2} - 4 a c}
formulaire021-equation006	ax^4 + bx^2 + c
MfrDB1269	\int\limits_{a}^{b} f ( x ) dx = F ( b ) - F ( a )
2009210-947-93	 c 
104_em_34	|x - u| \lt \frac{a}{4}
KME1G3_2_sub_18	\lim_{t \rightarrow \infty} ( 1 + \frac 1 t )^t = e
formulaire014-equation074	n_1+\ldots+n_{k-1}=n-1
200926-1617-256	 \int _ { V } ^ { \gamma } \mbox { M } d \beta 
200923-1251-188	 \mbox { e } 
200923-1254-14	 a + \sqrt { \frac { b + c } { d + f } } 
KME2G3_3_sub_15	( x^3 - x^2 - x ) ( 2 x - 7 )
TrainData2_26_sub_63	\frac{1}{a} F \left( a x + b \right) + C
formulaire021-equation062	h(x)=f(x,y_{0}+t)-f(x,y_{0})
2009212-952-4	 { \mbox { j } - o } 
formulaire004-equation054	1s^2, 2s^2, 2p^6, 3s^2, 3p^2
MfrDB2902	v_{c} = v_{c - 1} ( \frac{r - c}{c} )
MfrDB3464	f ( x ) \cdot h ( x ) = ( x + 1 ) ( 2 x - 3 )
200923-1253-128	 \sum _ { { v \geq l } } { \mbox { X } } 
200924-1312-56	 2 \alpha + 3 \sqrt { \beta } 
formulaire028-equation027	\frac{p}{q}
MfrDB1862	\int\limits_{0}^{+ \infty} {x^{n}} {e^{- x}} dx = n !
515_em_362	v \geq 0
200922-949-206	 { - 7.0 } 
RIT_2014_28	 \sqrt {\frac {5} {4}} = \frac {\sqrt {5}} {\sqrt {4}} = \frac {\sqrt {5}} {2} 
81_herbert	A_{2k} = \frac{2RA_k}{2R + \sqrt{4R^2 + A^2_k}}
formulaire012-equation014	u _1 = v _1
formulaire054-equation053	a_7 x^7 + a_6 x^6 + a_5 x^5 + a_4 x^4 + a_3 x^3 + a_2 x^2 + a_1 x + a_0 = 0
RIT_2014_125	 z + w 
200923-1556-141	 \mbox { ip } 
200926-1550-64	 { \beta - { L } ^ { k } \left ( t \right ) } 
formulaire005-equation064	x_1, x_2, \ldots, x_n
formulaire043-equation050	(30 + 39) \times (42 + 52 - 85) \neq 520
200923-1253-31	 \frac { - b - \sqrt { b ^ 2 - 4 a c } } { 2 a } 
formulaire036-equation053	10x^2\sqrt{5+2\sqrt{5}} + 5x - \sqrt{5+2\sqrt{5}}
2009210-947-78	 \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } 
rit_42170_2	 sin [x + y] = [sin x \cos y + \cos x sin y] 
2009213-139-187	 \frac { o } { \sqrt { \mbox { c } } } 
TrainData2_18_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
200923-1254-206	 \left ( \frac { \mbox { o } } { \left [ \mbox { i } \right ] } \right ) 
KME2G3_20_sub_26	x_1 \times x_2 \times x_3 \times x_4 = X
MfrDB3389	\lim_{n \to \infty} ( x_{n}  y_{n} ) = L_{1}  L_{2}
formulaire011-equation057	\lim_{x\rightarrow 0} \log_a x = +\infty
formulaire030-equation044	\frac{a\sqrt{5}}{2}h=\frac{a}{2}a
formulaire012-equation025	((168 \times 73) - (189 \div 45)) - 5 \neq -7922
KME1G3_1_sub_26	\sin ( \alpha + \beta ) \sin ( \alpha - \beta ) = \sin^2 \alpha - \sin^2 \beta
MfrDB2851	x_{1} = \frac{( 1 - \frac{2}{\sqrt{N - 1}} ) N}{L}
formulaire019-equation019	10^{-p}
TrainData2_14_sub_63	\frac{1}{a} F \left( a x + b \right) + C
formulaire013-equation060	((18 \div 123) + 123) \times (107 + (100 \div 142)) \geq 13262
513_em_310	8 + 7
formulaire005-equation062	{ \frac {1 + \frac {7}{9}t^2 + \frac {64}{945}t^4}{1 + \frac {10}{9}t^2 + \frac 5{21}t^4}}
MfrDB1598	\lim_{n \to \infty} {n^{\frac{1}{n}}} = 1
MfrDB2547	F ( x , y , z ) = G ( x , y ) + H ( y , z ) + 21
200926-1617-118	 { \mbox { H } - \sum { n } } 
RIT_2014_126	 \frac {1} {1 - z ^ {- 1}} 
200926-1617-81	 { { - \mbox { M } } + { a } ^ { { C + \mbox { o } } } } 
103_em_13	m = \frac{A.k.R}{g}
MfrDB1900	\sin \frac{\pi}{4} = \cos \frac{\pi}{4} = \frac{\sqrt{2}}{2}
200923-1253-235	 { \sigma \geq { C } _ { \mbox { l } } } 
200924-1312-4	 { V } _ { V } 
KME2G3_1_sub_42	\sqrt 2 ( \frac 1 {\sqrt 2} \sin x + \frac 1 {\sqrt 2} \cos x )
200923-1251-210	 7 
200924-1312-54	 \log _2 \left ( 2 ^ 5 \right ) = 5 
formulaire030-equation012	\lim_{n \rightarrow +\infty} (u_n) = u_0
104_em_35	q\lt-1
MfrDB0036	2 \cdot 3 \cdot 11 \geq 3 \cdot 5
129_Nina	1+2+\cdots+n = \frac{n(n+1)}{2}
TrainData1_4_sub_24	a \left( n \right) = \sum^{n}_{k = 1} \left( - 1 \right)^{n - k} k !
200923-1556-152	 \frac { \alpha } { \mbox { y } } 
TrainData2_14_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
200922-1017-69	 { \frac { \mbox { e } } { p } \gamma } 
rit_4245_3	 7 \sqrt {7} - 3 \sqrt {3} 
200923-1253-22	 { m } _ { \mbox { d } } 
MfrDB2378	\frac{{2^{5}}}{3 + 1}
29_em_163	C_t = C + C = 2C
124_em_394	\Delta t_i
TrainData2_13_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
TrainData2_2_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
MfrDB0524	a = 1 + 2
200925-1126-190	 { { \mbox { Y } - f } \leq \mbox { z } } 
515_em_365	\frac{16}{16} - \frac{1}{16}
MfrDB1892	\sin x = \sin ( x + 2 \pi k )
TrainData2_0_sub_63	\frac{1}{a} F \left( a x + b \right) + C
formulaire026-equation072	\alpha=1
37_em_13	80^o
formulaire015-equation018	10^{58}
200923-1253-175	 31.3 
formulaire038-equation031	a^{n-1}
124_em_405	(p+q) \times (p+q)
TrainData2_3_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
200926-1550-69	 { g - s } 
formulaire003-equation004	\sum p_i=1
2009210-947-12	 \int _0 ^ \pi \cos \left ( \frac { \theta } { 2 } \right ) d \theta 
formulaire044-equation064	\log(z) \leq z - 1
516_em_377	 \frac{1}{2}x + \frac{1}{2} - \frac{1}{2} = \frac{1}{2}- \frac{1}{2} 
MfrDB3275	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
formulaire010-equation071	\frac{az^{-1} }{ (1-a z^{-1})^2 }
rit_42150_3	 \frac {\pi} {7} 
MfrDB0266	f = {a^{2}}
MfrDB0483	x + y = 3
200924-1331-253	 \sum { { G + \mbox { j } } } 
504_em_39	\frac{\sqrt{27}}{\sqrt[3]{9}}
formulaire025-equation046	(-a)^n
formulaire039-equation056	2\pi f
200925-1126-171	 m 
formulaire028-equation024	p=2r+1
TrainData2_15_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
MfrDB3042	\lim_{n \to \infty} ( x_{n}  y_{n} ) = L_{1}  L_{2}
RIT_2014_157	 C H _ {2} = C H C H _ {2} C H _ {2} C H _ {3} 
formulaire029-equation018	d^4x
formulaire042-equation046	x^{2}+ny^{2}
200922-947-207	 { - { g \mbox { m } } } 
formulaire029-equation033	f(x) = a\sqrt{x}
MfrDB1795	5 0 ! \cdot n = 4 8 !
MfrDB3154	\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}
KME1G3_6_sub_20	\sum_{k = 1}^n k = \frac 1 2 ( n^2 + n )
200926-1550-2	 \int e ^ { x ^ 2 } x ^ 3 d x 
200923-1254-300	 \left ( { A + \mbox { Y } } \right ) 
MfrDB0054	\frac{1}{2} + \frac{1}{3} + \frac{1}{4} = \frac{6 + 4 + 3}{12} = \frac{13}{12}
KME2G3_9_sub_48	\lim_{x \rightarrow 0} ( 1 + x )^{\frac 1 x}
MfrDB1273	\int\limits_{0}^{R} \frac{2 x}{1 + {x^{2}}} dx = l o g ( 1 + {R^{2}} )
28_em_142	\frac{44467}{38973}
formulaire057-equation003	r(\theta)=a
MfrDB2907	f ( x , y ) = f_{1} ( x y ) + f_{2} ( \frac{x}{y} )
formulaire014-equation005	177  ((116  59)  (168 + 139)) \geq 27637
2009212-952-111	 { \mbox { N } } ^ { { \mbox { B } + \mbox { E } } } 
200923-1553-99	 \sqrt { { j - \lambda } } 
MfrDB3404	\frac{a_{1} + a_{2} + {a^{3}}}{1 - x}
formulaire019-equation062	p=d_{i,j}^{(n)}
MfrDB3091	v_{c} = v_{c - 1} ( \frac{r - c}{c} )
rit_425_0	 9 ! ^ 9 
123_em_391	P^{k-1}
118_em_225	\frac{u-3}{2} + 4 \gt 5u
118_em_239	C^1(G)=G
formulaire010-equation039	u = -1 - \frac{5}{12} q + w
RIT_2014_109	 e ^ {z} + \frac {z ^ {8}} {2} + \frac {6} {z ^ {3}} 
formulaire010-equation052	h(t)
formulaire019-equation072	(\pm 1,\pm 1,0,0)
200922-947-103	 \sqrt { b } 
MfrDB3255	\sqrt[n]{\frac{n + 1}{{( n - 1 )^{2}}}}
103_em_28	l=v t/2
200926-1617-88	 { S + \left ( \mbox { w } \right ) } 
2009212-1031-50	 \frac { \left [ \mbox { t } \right ] } { \sum { P } } 
rit_42120_1	 \frac {1} {\cos ^ {2} \times} 
formulaire049-equation013	\frac{7}{5}
116_em_158	\tan \gamma_H=\tan H \sin \phi
200923-131-0	 \sin ^ 2 ( x ) + \cos ^ 2 ( x ) = 1 
formulaire016-equation044	x \times (+ \infty)
2009213-139-30	 \frac { - b + \sqrt { b ^ 2 - 4 a c } } { 2 a } 
TrainData2_3_sub_43	\frac{2 \tan \alpha}{1 - \tan^{2} \alpha}
200924-1331-14	 a + \sqrt { \frac { b + c } { d + f } } 
formulaire038-equation047	t = 8
MfrDB1248	\frac{5 x - 7}{3} \leq 2 x + 5
TrainData1_1_sub_3	x^{2} + y^{2} \lt 1
200923-1553-145	 \mbox { w } 
116_em_164	g_1(x) =\frac { 1}{2} (f_1(x) + f_2(x) )= e^{ux}\cos(vx)
formulaire002-equation045	((116 - 17) \times (124 - 98)) \div 10 > 205
KME1G3_8_sub_25	\int_1^2 ( \frac {x^2 - 1} {x^2} ) e^{x + \frac 1 x} d x
formulaire015-equation073	x+a = y+a
MfrDB2210	f^{'} ( x ) = \frac{1}{2 \sqrt{x}}
109_user0	\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
110_caue	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
formulaire034-equation025	((54 \times 109) \times 185) \times 158 \leq 172047780
TrainData2_25_sub_39	\sin x - \sin y - \sin \left( x - y \right)
2009212-1031-124	 { - \sum { l } } 
MfrDB1617	\sin ( 32 \pi )
formulaire012-equation056	c-a
formulaire033-equation023	b^{-\theta_0}
MfrDB1444	{( 12 - x )^{2}}
formulaire035-equation071	((-1)^nn)
TrainData2_10_sub_29	x^{i + 2 j \times k^{3} - 2 \frac{j}{i}}
200923-1251-56	 2 \alpha + 3 \sqrt { \beta } 
formulaire023-equation048	r = \sqrt{n}
200926-1550-125	 { \mbox { n } } ^ { { \mbox { z } - \mbox { R } } } 
200922-1017-18	 a ^ x + b ^ x + \frac { c } { 2 } 
formulaire003-equation067	x,y,z
200926-131-36	 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 } 
RIT_2014_287	 \log x - \log y = \log (\frac {x} {y}) 
125_em_437	Id_A
200924-1331-136	 \mbox { S } 
TrainData2_4_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
129_caue	1+2+\cdots+n = \frac{n(n+1)}{2}
KME2G3_16_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
RIT_2014_245	 b ^ {3} - 3 / 2 b 
200924-1312-224	 \mbox { s } 
formulaire011-equation007	l_{1}=(3000,1)
65_leo	x = r \cos \theta
96_bruno	y = a S(t) = a \int_0^{t} \sin(\frac{1}{2}\pi s^2) ds
MfrDB2296	{2^{x + 1}} - {2^{x}} = 16
200923-1253-78	 \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } 
MfrDB0115	E = m {c^{2}}
200926-1550-159	 \frac { { w - \mbox { t } } } { \tan r } 
TrainData2_21_sub_39	\sin x - \sin y - \sin \left( x - y \right)
KME2G3_6_sub_97	\lim_{z \rightarrow 0} \frac 1 {\log_a ( 1 + z )^{\frac 1 z}}
MfrDB1696	s_{n} = \sum_{k = 1}^{n} a_{k}
MfrDB2291	\frac{5 x - 7}{3} \leq 2 x + 5
200923-131-80	 \frac { 2 } { \sin I } 
111_Nina	\sqrt[n]{1} = \cos \frac{2k\pi}{n} + i \sin \frac{2k\pi}{n}
KME2G3_3_sub_42	\sqrt 2 ( \frac 1 {\sqrt 2} \sin x + \frac 1 {\sqrt 2} \cos x )
200924-1312-245	 \mbox { ie } 
formulaire001-equation062	X = (x_1, x_2, \ldots, x_p)
MfrDB2919	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
formulaire018-equation004	(1,\alpha,\alpha^{2},\ldots,\alpha^{n-1})
200923-1553-153	 { w + E } 
formulaire037-equation070	((124 \div 106) + 132) + ((16 - 145) \times (100 \times 120)) \geq -1547867
rit_42135_0	 \times \rightarrow \infty 
